"","objectid_well","year_obs","lat","lon","district","season","well.level","time"
"183",10781,2015,25.73055556,71.62083333,"Barmer","mo",63.45,87
"184",10781,2015,25.73055556,71.62083333,"Barmer","pomk",65.6,88
"185",10781,2016,25.73055556,71.62083333,"Barmer","pomr",NA,89
"186",10781,2016,25.73055556,71.62083333,"Barmer","prm",63.45,90
"187",10781,2016,25.73055556,71.62083333,"Barmer","mo",63.4,91
"188",10781,2016,25.73055556,71.62083333,"Barmer","pomk",63.65,92
"189",10791,1994,25.67777778,71.22361111,"Barmer","pomr",6.54,1
"190",10791,1994,25.67777778,71.22361111,"Barmer","prm",11.38,2
"191",10791,1994,25.67777778,71.22361111,"Barmer","mo",8.66,3
"192",10791,1994,25.67777778,71.22361111,"Barmer","pomk",8,4
"193",10791,1995,25.67777778,71.22361111,"Barmer","pomr",5.43,5
"194",10791,1995,25.67777778,71.22361111,"Barmer","prm",5.96,6
"195",10791,1995,25.67777778,71.22361111,"Barmer","mo",5.6,7
"196",10791,1995,25.67777778,71.22361111,"Barmer","pomk",6.17,8
"197",10791,1996,25.67777778,71.22361111,"Barmer","pomr",6.6,9
"198",10791,1996,25.67777778,71.22361111,"Barmer","prm",7.06,10
"199",10791,1996,25.67777778,71.22361111,"Barmer","mo",5.8,11
"200",10791,1996,25.67777778,71.22361111,"Barmer","pomk",6.9,12
"201",10791,1997,25.67777778,71.22361111,"Barmer","pomr",6.02,13
"202",10791,1997,25.67777778,71.22361111,"Barmer","prm",8.24,14
"203",10791,1997,25.67777778,71.22361111,"Barmer","mo",5.7,15
"204",10791,1997,25.67777778,71.22361111,"Barmer","pomk",6.9,16
"205",10791,1998,25.67777778,71.22361111,"Barmer","pomr",8.46,17
"206",10791,1998,25.67777778,71.22361111,"Barmer","prm",6.45,18
"207",10791,1998,25.67777778,71.22361111,"Barmer","mo",8.75,19
"208",10791,1998,25.67777778,71.22361111,"Barmer","pomk",8.79,20
"209",10791,1999,25.67777778,71.22361111,"Barmer","pomr",9.55,21
"210",10791,1999,25.67777778,71.22361111,"Barmer","prm",9.4,22
"211",10791,1999,25.67777778,71.22361111,"Barmer","mo",9.28,23
"212",10791,1999,25.67777778,71.22361111,"Barmer","pomk",10,24
"213",10791,2000,25.67777778,71.22361111,"Barmer","pomr",10.47,25
"214",10791,2000,25.67777778,71.22361111,"Barmer","prm",11.1,26
"215",10791,2000,25.67777778,71.22361111,"Barmer","mo",10.1,27
"216",10791,2000,25.67777778,71.22361111,"Barmer","pomk",10.2,28
"217",10791,2001,25.67777778,71.22361111,"Barmer","pomr",10.4,29
"218",10791,2001,25.67777778,71.22361111,"Barmer","prm",11.78,30
"219",10791,2001,25.67777778,71.22361111,"Barmer","mo",9.1,31
"220",10791,2001,25.67777778,71.22361111,"Barmer","pomk",9.52,32
"221",10791,2002,25.67777778,71.22361111,"Barmer","pomr",10.17,33
"222",10791,2002,25.67777778,71.22361111,"Barmer","prm",9.85,34
"223",10791,2002,25.67777778,71.22361111,"Barmer","mo",10.75,35
"224",10791,2002,25.67777778,71.22361111,"Barmer","pomk",NA,36
"225",10791,2003,25.67777778,71.22361111,"Barmer","pomr",NA,37
"226",10791,2003,25.67777778,71.22361111,"Barmer","prm",13.05,38
"227",10791,2003,25.67777778,71.22361111,"Barmer","mo",NA,39
"228",10791,2003,25.67777778,71.22361111,"Barmer","pomk",NA,40
"229",10791,2005,25.67777778,71.22361111,"Barmer","pomr",12.34,45
"230",10791,2005,25.67777778,71.22361111,"Barmer","prm",13.68,46
"231",10791,2005,25.67777778,71.22361111,"Barmer","mo",14.27,47
"232",10791,2005,25.67777778,71.22361111,"Barmer","pomk",14.1,48
"233",10791,2006,25.67777778,71.22361111,"Barmer","pomr",14.95,49
"234",10791,2006,25.67777778,71.22361111,"Barmer","prm",15.11,50
"235",10791,2006,25.67777778,71.22361111,"Barmer","mo",6.55,51
"236",10791,2006,25.67777778,71.22361111,"Barmer","pomk",5.95,52
"237",10791,2007,25.67777778,71.22361111,"Barmer","pomr",6.7,53
"238",10791,2007,25.67777778,71.22361111,"Barmer","prm",7.63,54
"239",10791,2007,25.67777778,71.22361111,"Barmer","mo",8.55,55
"240",10791,2007,25.67777778,71.22361111,"Barmer","pomk",8.77,56
"241",10791,2008,25.67777778,71.22361111,"Barmer","pomr",8.77,57
"242",10791,2008,25.67777778,71.22361111,"Barmer","prm",9.45,58
"243",10791,2008,25.67777778,71.22361111,"Barmer","mo",9.75,59
"244",10791,2008,25.67777778,71.22361111,"Barmer","pomk",NA,60
"245",10791,2009,25.67777778,71.22361111,"Barmer","pomr",10.5,61
"246",10791,2009,25.67777778,71.22361111,"Barmer","prm",11,62
"247",10791,2009,25.67777778,71.22361111,"Barmer","mo",10.45,63
"248",10791,2009,25.67777778,71.22361111,"Barmer","pomk",NA,64
"249",10791,2010,25.67777778,71.22361111,"Barmer","pomr",NA,65
"250",10791,2010,25.67777778,71.22361111,"Barmer","prm",8.23,66
"251",10791,2010,25.67777778,71.22361111,"Barmer","mo",9.7,67
"252",10791,2010,25.67777778,71.22361111,"Barmer","pomk",9.15,68
"253",10791,2011,25.67777778,71.22361111,"Barmer","pomr",9.28,69
"254",10791,2011,25.67777778,71.22361111,"Barmer","prm",9.9,70
"255",10791,2011,25.67777778,71.22361111,"Barmer","mo",9.55,71
"256",10791,2011,25.67777778,71.22361111,"Barmer","pomk",9.05,72
"257",10791,2012,25.67777778,71.22361111,"Barmer","pomr",9.55,73
"258",10791,2012,25.67777778,71.22361111,"Barmer","prm",9.65,74
"259",10791,2012,25.67777778,71.22361111,"Barmer","mo",NA,75
"260",10791,2012,25.67777778,71.22361111,"Barmer","pomk",8.65,76
"261",10791,2013,25.67777778,71.22361111,"Barmer","pomr",9.75,77
"262",10791,2013,25.67777778,71.22361111,"Barmer","prm",9.9,78
"263",10791,2013,25.67777778,71.22361111,"Barmer","mo",10.05,79
"264",10791,2013,25.67777778,71.22361111,"Barmer","pomk",9.45,80
"265",10791,2014,25.67777778,71.22361111,"Barmer","pomr",10.63,81
"266",10791,2014,25.67777778,71.22361111,"Barmer","prm",10.4,82
"267",10791,2014,25.67777778,71.22361111,"Barmer","mo",9.4,83
"268",10791,2014,25.67777778,71.22361111,"Barmer","pomk",9.43,84
"269",10791,2015,25.67777778,71.22361111,"Barmer","pomr",11.35,85
"270",10791,2015,25.67777778,71.22361111,"Barmer","prm",10.85,86
"271",10791,2015,25.67777778,71.22361111,"Barmer","mo",11.35,87
"272",10791,2015,25.67777778,71.22361111,"Barmer","pomk",11.65,88
"273",10791,2016,25.67777778,71.22361111,"Barmer","pomr",NA,89
"274",10791,2016,25.67777778,71.22361111,"Barmer","prm",12.95,90
"275",10791,2016,25.67777778,71.22361111,"Barmer","mo",13.05,91
"276",10791,2016,25.67777778,71.22361111,"Barmer","pomk",11.62,92
"277",10796,1994,25.71666667,71.25555556,"Barmer","pomr",11.07,1
"278",10796,1994,25.71666667,71.25555556,"Barmer","prm",14.87,2
"279",10796,1994,25.71666667,71.25555556,"Barmer","mo",11.36,3
"280",10796,1994,25.71666667,71.25555556,"Barmer","pomk",10.8,4
"281",10796,1995,25.71666667,71.25555556,"Barmer","pomr",10.99,5
"282",10796,1995,25.71666667,71.25555556,"Barmer","prm",12.05,6
"283",10796,1995,25.71666667,71.25555556,"Barmer","mo",11.38,7
"284",10796,1995,25.71666667,71.25555556,"Barmer","pomk",11.87,8
"285",10796,1996,25.71666667,71.25555556,"Barmer","pomr",12.22,9
"286",10796,1996,25.71666667,71.25555556,"Barmer","prm",13.74,10
"287",10796,1996,25.71666667,71.25555556,"Barmer","mo",11.8,11
"288",10796,1996,25.71666667,71.25555556,"Barmer","pomk",15,12
"289",10796,1997,25.71666667,71.25555556,"Barmer","pomr",15.1,13
"290",10796,1997,25.71666667,71.25555556,"Barmer","prm",15.72,14
"291",10796,1997,25.71666667,71.25555556,"Barmer","mo",15.8,15
"292",10796,1997,25.71666667,71.25555556,"Barmer","pomk",15,16
"293",10796,1998,25.71666667,71.25555556,"Barmer","pomr",16.86,17
"294",10796,1998,25.71666667,71.25555556,"Barmer","prm",17.6,18
"295",10796,1998,25.71666667,71.25555556,"Barmer","mo",17.5,19
"296",10796,1998,25.71666667,71.25555556,"Barmer","pomk",18.01,20
"297",10796,1999,25.71666667,71.25555556,"Barmer","pomr",18.4,21
"298",10796,1999,25.71666667,71.25555556,"Barmer","prm",19.2,22
"299",10796,1999,25.71666667,71.25555556,"Barmer","mo",19.05,23
"300",10796,1999,25.71666667,71.25555556,"Barmer","pomk",19.48,24
"301",10796,2000,25.71666667,71.25555556,"Barmer","pomr",17,25
"302",10796,2000,25.71666667,71.25555556,"Barmer","prm",21,26
"303",10796,2000,25.71666667,71.25555556,"Barmer","mo",18.17,27
"304",10796,2000,25.71666667,71.25555556,"Barmer","pomk",19.2,28
"305",10796,2001,25.71666667,71.25555556,"Barmer","pomr",19.3,29
